canonical_ean,short_sku,status,source_row,source_file
3574661568867,ST68867,APPROVED,2,MÃ SKU.xlsx
3574661601496,ST01496,APPROVED,3,MÃ SKU.xlsx
3574661601601,ST01601,APPROVED,4,MÃ SKU.xlsx
3574661608273,ST08273,APPROVED,5,MÃ SKU.xlsx
3574661655031,ST55031,APPROVED,6,MÃ SKU.xlsx
3574661655017,ST55017,APPROVED,7,MÃ SKU.xlsx
3574661753379,ST53379,APPROVED,8,MÃ SKU.xlsx
3574661655055,ST55055,APPROVED,9,MÃ SKU.xlsx
3574661753386,ST53386,APPROVED,10,MÃ SKU.xlsx
3574661753362,ST53362,APPROVED,11,MÃ SKU.xlsx
3574661319308,ST19308,APPROVED,12,MÃ SKU.xlsx
3574661148441,ST48441,APPROVED,13,MÃ SKU.xlsx
3574661192871,ST92871,APPROVED,14,MÃ SKU.xlsx
3574661254494,ST54494,APPROVED,15,MÃ SKU.xlsx
3574661065434,ST65434,APPROVED,16,MÃ SKU.xlsx
3574661701240,ST01240,APPROVED,17,MÃ SKU.xlsx
3574661700526,ST00526,APPROVED,18,MÃ SKU.xlsx
3574661700892,ST00892,APPROVED,19,MÃ SKU.xlsx
3574661699493,ST99493,APPROVED,20,MÃ SKU.xlsx
3574661699622,ST99622,APPROVED,21,MÃ SKU.xlsx
3574661254463,ST54463,APPROVED,22,MÃ SKU.xlsx
3574661700823,ST00823,APPROVED,23,MÃ SKU.xlsx
3574661768816,ST68816,APPROVED,24,MÃ SKU.xlsx
3574661768823,ST68823,APPROVED,25,MÃ SKU.xlsx
3574661700557,ST00557,APPROVED,26,MÃ SKU.xlsx
3574661700991,ST00991,APPROVED,27,MÃ SKU.xlsx
3574661701288,ST01288,APPROVED,28,MÃ SKU.xlsx
3574661653594,ST53594,APPROVED,29,MÃ SKU.xlsx
3574661639109,ST39109,APPROVED,30,MÃ SKU.xlsx
3574661801902,ST01902,APPROVED,31,MÃ SKU.xlsx
3574661700755,ST00755,APPROVED,32,MÃ SKU.xlsx
3574661700809,ST00809,APPROVED,33,MÃ SKU.xlsx
3574661701295,ST01295,APPROVED,34,MÃ SKU.xlsx
3574661701868,ST01868,APPROVED,35,MÃ SKU.xlsx
3574661506999,ST06999,APPROVED,36,MÃ SKU.xlsx
3574661701318,ST01318,APPROVED,37,MÃ SKU.xlsx
3574661701431,ST01431,APPROVED,38,MÃ SKU.xlsx
3574661701455,ST01455,APPROVED,39,MÃ SKU.xlsx
3574661701356,ST01356,APPROVED,40,MÃ SKU.xlsx
3574661701172,ST01172,APPROVED,41,MÃ SKU.xlsx
3574661704371,ST04371,APPROVED,42,MÃ SKU.xlsx
3574661644226,DT44226,APPROVED,43,MÃ SKU.xlsx
3574661365305,DT65305,APPROVED,44,MÃ SKU.xlsx
3574661644240,DT44240,APPROVED,45,MÃ SKU.xlsx
3574661480114,DT80114,APPROVED,46,MÃ SKU.xlsx
3574661365312,DT65312,APPROVED,47,MÃ SKU.xlsx
3574661404660,DT04660,APPROVED,48,MÃ SKU.xlsx
3574661755885,DT55885,APPROVED,49,MÃ SKU.xlsx
3574661777412,DT77412,APPROVED,50,MÃ SKU.xlsx
3574661602684,DT02684,APPROVED,51,MÃ SKU.xlsx
3574661183916,DT83916,APPROVED,52,MÃ SKU.xlsx
3574661184159,DT84159,APPROVED,53,MÃ SKU.xlsx
3574661790435,DG90435,APPROVED,54,MÃ SKU.xlsx
3574661790442,DG90442,APPROVED,55,MÃ SKU.xlsx
3574661231372,DG31372,APPROVED,56,MÃ SKU.xlsx
3574661574554,DG74554,APPROVED,57,MÃ SKU.xlsx
3574661574646,DG74646,APPROVED,58,MÃ SKU.xlsx
3574661801841,DG01841,APPROVED,59,MÃ SKU.xlsx
3574661537429,DG37429,APPROVED,60,MÃ SKU.xlsx
