Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Đang diễn ra,,-,-,GMV Max Auto Bidding (Shop),Tất cả,04/05/2026 00:00:00,Không giới hạn,70392,1903,2.70%,330,138,17.34%,7.25%,26897.02,64318.95,337,143,53062310,40545571,8876015,5.98,4.57,16.73%,21.89%,-,-,-,3929074,18298911
2,Sữa Tắm Thơm Lâu Le Petit Marseillais Gel 92% Thiên Nhiên Da Nhạy Cảm Nhiều Mùi Hương 650ml [4],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24142870859,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,44093,1082,2.45%,390,223,36.04%,20.61%,30455.23,53262.52,408,238,82714299,78013281,11877541,6.96,6.57,14.36%,15.23%,-,-,-,4523952,21847800
3,Sữa Tắm Thiên Nhiên 92% Le Petit Marseillais Nhiều Mùi Hương 250ml [5],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,29480146096,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,Không giới hạn,21688,531,2.45%,158,76,29.76%,14.31%,20443.27,42500.48,166,83,18611463,14726043,3230037,5.76,4.56,17.36%,21.93%,-,-,-,1044740,5131500
4,Sữa Tắm 4 in 1 Nam 92% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [3],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,25692866155,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/09/2025 00:00:00,Không giới hạn,17711,336,1.90%,101,55,30.06%,16.37%,23491.14,43138.27,110,64,13313367,11389589,2372605,5.61,4.80,17.82%,20.83%,-,-,-,673065,3402900
5,Dầu Gội Trẻ Em 2in1 94% Thiên Nhiên Le Petit Marseillais Giúp Gỡ Rối Tóc Nhiều Mùi Hương 300ml,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,27586430985,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2025 00:00:00,Không giới hạn,11091,300,2.70%,87,45,29.00%,15.00%,30014.10,58027.26,89,46,16093190,12612090,2611227,6.16,4.83,16.23%,20.70%,-,-,-,701806,3304800
6,Combo Dầu Gội Xả Thiên Nhiên Chăm Sóc Tóc Le Petit Marseillais Mềm Mượt [2],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,44004810239,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/05/2026 00:00:00,Không giới hạn,4912,106,2.16%,14,6,13.21%,5.66%,52733.52,123044.89,14,6,3891000,2619000,738269,5.27,3.55,18.97%,28.19%,-,-,-,0,0
7,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,29680365284,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,5,0,0.00%,2,2,0.00%,0.00%,0.00,0.00,2,2,448200,448200,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Gel Tắm Hữu Cơ BIO 98% Thiên Nhiên Le Petit Marseillais Nhiều Mùi Hương 250ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28980146591,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,3,0,0.00%,3,1,0.00%,0.00%,0.00,0.00,3,1,560700,224100,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Sữa Tắm Hoa Anh Đào Hữu Cơ Le Petit Marseillais  92% Thiên Nhiên Dịu Nhẹ 650ml 0755,Đã dừng,Dịch vụ Hiển thị Sản phẩm,28227402194,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,01/06/2025 00:00:00,04/05/2026 14:06:41,3,0,0.00%,8,3,0.00%,0.00%,0.00,0.00,8,3,1284800,1009800,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Dầu Gội Thiên Nhiên Le Petit Marseillais Hữu Cơ Nhiều Mùi Hương 300ml [2],Đã dừng,Dịch vụ Hiển thị Sản phẩm,28830365069,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/12/2025 00:00:00,04/05/2026 14:06:41,1,0,0.00%,10,1,0.00%,0.00%,0.00,0.00,10,1,2513400,344100,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
